Item name,Billed Qty,Product MRP,Sales Unit,Product Cost (without tax),Product Tax %,Profit Margin,Cumulative Profit Margin,,,,,Unique Items,Cumulative Profit Margin Unique,,SORTED Unique Items,Profit Margin Unique SORTED,,Cumulative Profit Margin,Cumulative Profit Margin Unique %,Cumulative Profit Margin Unique % SUM,Category,,,,
VYMADA 100MG 14'S,4,2575,2,1747.33,12,1235.9808,31771.8682,,,,,COLIHENZ P 800 TAB,1194.4224,,UDILIV 300MG,5221.407333,6.68%,"128,965.64",0.27%,6.68%,A,,,,
VYMADA 100MG 14'S,4,2575,2,1747.33,12,1235.9808,33007.849,,,,,APREZO 20MG 4'S,1355.2704,,AZITHRAL 500MG,5172.61184,6.95%,"134,138.25",0.27%,6.95%,A,,,,
VYMADA 100MG 14'S,4,2575,2,1747.33,12,1235.9808,34243.8298,,,,,ALTRAZ 1MG,2250,,ZINCOVIT TABS,5139.61112,7.22%,"139,277.86",0.27%,7.22%,A,,,,
VOGLINORM GM 1MG,285,269,15,182.53,12,1226.7616,35470.5914,,,,,PEGASTA 6MG/0.6ML INJ,998.8752,,MICROPORE 2.5CM,5090.6496,7.48%,"144,368.51",0.26%,7.48%,A,,,,
EPOFIT4000IU/1.0ML INJ,1,1760,1,520,12,1177.6,36648.1914,,,,,XARELTO 15MG 14'S,1705.2,,DUPHASTON 10MG,5075.42024,7.74%,"149,443.93",0.26%,7.74%,A,,,,
EPOFIT4000IU/1.0ML INJ,1,1760,1,520,12,1177.6,37825.7914,,,,,GLYCINORM M 80MG,1663.75392,,ENTEHEP 0.5MG,4828.4,7.99%,"154,272.33",0.25%,7.99%,A,,,,
EPOFIT4000IU/1.0ML INJ,1,1760,1,520,12,1177.6,39003.3914,,,,,REALCARE BODY WIPES 10'S,1148.08,,PAN D CAPS,4819.525547,8.24%,"159,091.86",0.25%,8.24%,A,,,,
EPOFIT4000IU/1.0ML INJ,1,1760,1,520,12,1177.6,40180.9914,,,,,THERMOMETER CAN {INFRARED },900.42,,CILACAR 10MG,4812.615867,8.49%,"163,904.47",0.25%,8.49%,A,,,,
COLIHENZ P 800 TAB,60,771,10,523.17,12,1110.2976,41291.289,,,,,WEIGHING MACHINE {DIGITAL},889.24,,GELUSIL MPS 200ML,4639.4064,8.73%,"168,543.88",0.24%,8.73%,A,,,,
APREZO 20MG 4'S,44,105,1,71.25,12,1108.8,42400.089,,,,,NEPTAZ 100MG 14'S,2267.5456,,GALVUSMET 50/500MG 15'S,4415.0848,8.96%,"172,958.96",0.23%,8.96%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,43406.8842,,,,,ROZAVEL 10MG,1713.52576,,CLOPILET,4359.6264,9.19%,"177,318.59",0.23%,9.19%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,44413.6794,,,,,INSTANT STERILE SWABS,1276.1504,,MAGNEX FORTE 1.5GM INJ,4337.14,9.41%,"181,655.73",0.22%,9.41%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,45420.4746,,,,,CUTICOLOR BROWN 60GM,821.1768,,TELMA 40MG,4278.33536,9.63%,"185,934.07",0.22%,9.63%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,46427.2698,,,,,XALACOM DROPS,1146.5328,,ROSUVAS 10MG,4264.870187,9.85%,"190,198.94",0.22%,9.85%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,47434.065,,,,,NEL CATH NO-14,812,,KARVOL PLUS,4234.70356,10.07%,"194,433.64",0.22%,10.07%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,48440.8602,,,,,LIPICARD CAPS,1076.9904,,ZECUF SYP 100ML,4025.3888,10.28%,"198,459.03",0.21%,10.28%,A,,,,
DARGEN 40 INJ,1,2506.8,1,1339.29,12,1006.7952,49447.6554,,,,,HEPTRAL 400MG,1325.226,,ENTEROGERMINA 5ML VIAL,3914.3024,10.48%,"202,373.33",0.20%,10.48%,A,,,,
ALTRAZ 1MG,4,810,1,500,12,1000,50447.6554,,,,,BLOOD PRESSURE MONITOR {OMRON},6786.88,,D RISE 60K,3897.9629,10.69%,"206,271.29",0.20%,10.69%,A,,,,
PEGASTA 6MG/0.6ML INJ,1,3550,1,2277.79,12,998.8752,51446.5306,,,,,JARDIANCE 25MG,2889.6832,,SCALPE (LOTION=SHAMPOO) 75ML,3779.1808,10.88%,"210,050.47",0.20%,10.88%,A,,,,
XARELTO 15MG 14'S,4,1015,1,688.75,12,974.4,52420.9306,,,,,FERINJECT 500MG {10ML } VIAL,1461.6,,PULSE OXIMETER {ZACVRATE},3721.28,11.08%,"213,771.75",0.19%,11.08%,A,,,,
GLYCINORM M 80MG,300,192.2,15,130.42,12,922.592,53343.5226,,,,,OLMEZEST H 20MG,1268.344,,SINAREST,3596.328107,11.26%,"217,368.08",0.19%,11.26%,A,,,,
REALCARE BODY WIPES 10'S,4,299,1,58.8,18,918.464,54261.9866,,,,,CO Q 300MG CAP,724.6092,,ASCORIL 120ML,3588.28,11.45%,"220,956.36",0.19%,11.45%,A,,,,
THERMOMETER CAN {INFRARED },1,1999,1,931,18,900.42,55162.4066,,,,,REHEPTIN ,1346.25888,,FACE MASK {N95 } 22.00,3455.484,11.63%,"224,411.85",0.18%,11.63%,A,,,,
WEIGHING MACHINE {DIGITAL},1,1930,1,882,18,889.24,56051.6466,,,,,STROCIT PLUS,1077.0624,,COVISELF COVID-19 TEST KIT,3400.3,11.80%,"227,812.15",0.18%,11.80%,A,,,,
NEPTAZ 100MG 14'S,3,1181,1,801.39,12,850.3296,56901.9762,,,,,MAMY POKO SMALL 84'S,716.368,,VERICOSE VEIN STOCKING,3383.405,11.98%,"231,195.55",0.18%,11.98%,A,,,,
ROZAVEL 10MG,180,194,10,131.64,12,838.1376,57740.1138,,,,,MICROPORE 2.5CM,5090.6496,,SHELCAL 500MG,3349.73056,12.15%,"234,545.28",0.17%,12.15%,A,,,,
INSTANT STERILE SWABS,15,140,1,75.46,12,832.272,58572.3858,,,,,ECONORM CAPS,2472.8896,,ENFAMIL A+ STAGE 2,3325.7966,12.32%,"237,871.08",0.17%,12.32%,A,,,,
RELIPOIETIN 4000IU PFS INJ,1,1056,1,200,12,832,59404.3858,,,,,UNDERPAD,9277.21184,,GLOVES {LARGE} 5.75,3305.67,12.50%,"241,176.75",0.17%,12.50%,A,,,,
RELIPOIETIN 4000IU PFS INJ,1,1056,1,200,12,832,60236.3858,,,,,AZTOR EZ,1090.0224,,MEDICISER (RESPIRATOR EXERCIS),3291.752,12.67%,"244,468.50",0.17%,12.67%,A,,,,
CUTICOLOR BROWN 60GM,2,1710.5,1,1101.62,18,821.1768,61057.5626,,,,,NOVOMIX 30 PENFILL,2096.177,,T BACT 15GM,3284.1712,12.84%,"247,752.67",0.17%,12.84%,A,,,,
XALACOM DROPS,5,682.44,1,463.08,12,818.952,61876.5146,,,,,NEBULIZER MACHINE {OMRON),2058,,JANUVIA 50MG 7'S,3243.1104,13.00%,"250,995.78",0.17%,13.00%,A,,,,
NEL CATH NO-14,20,63,1,20,12,812,62688.5146,,,,,MEDICISER (RESPIRATOR EXERCIS),3291.752,,ACCU CHEK GUIDE STRIPS 50S,3223.8688,13.17%,"254,219.65",0.17%,13.17%,A,,,,
EPOFIT4000IU/1.0ML INJ,1,1760,1,850,12,808,63496.5146,,,,,SILDOO D8 CAPS,1054.0156,,KARE IN DIAPPER PANT LARGE,3190.016,13.34%,"257,409.67",0.17%,13.34%,A,,,,
LIPICARD CAPS,140,243.3,10,166.83,12,790.3056,64286.8202,,,,,TWINCAL 10MG,852.8864,,PANTOCID DSR CAPS,3175.60448,13.50%,"260,585.27",0.16%,13.50%,A,,,,
HEPTRAL 400MG,30,1061.89,10,720.57,12,764.5548,65051.375,,,,,GLUCONORM G PLUS 1MG,692.6304,,JALRA M 50/500MG 15'S,3120.256,13.66%,"263,705.53",0.16%,13.66%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2254,12,755.52,65806.895,,,,,CRANPAC D TABS,1634.52784,,ASCORIL D 100ML,3107.352,13.82%,"266,812.88",0.16%,13.82%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2254,12,755.52,66562.415,,,,,PULSE OXIMETER {ZACVRATE},3721.28,,CEFTUM 500mg,3106.5327,13.98%,"269,919.41",0.16%,13.98%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2254,12,755.52,67317.935,,,,,WEIGHING MACHINE,647.96,,PRO FIFTEEN CAPS,3100.9888,14.15%,"273,020.40",0.16%,14.15%,A,,,,
JARDIANCE 25MG,60,622,10,443.18,12,753.8304,68071.7654,,,,,JALRA 50MG 15'S,2375.6048,,GLYCOMET GP 1,3041.49376,14.30%,"276,061.90",0.16%,14.30%,A,,,,
ALTRAZ 1MG,3,810,1,500,12,750,68821.7654,,,,,LACTOGUT TAB,714.48724,,PREGASCREEN KIT,3028.1984,14.46%,"279,090.09",0.16%,14.46%,A,,,,
FERINJECT 500MG {10ML } VIAL,1,3045,1,2066.25,12,730.8,69552.5654,,,,,ONGLYZA 5MG 14'S,2551.287086,,BLOOD PRESSURE MONITOR OMRON,3006.192,14.62%,"282,096.29",0.16%,14.62%,A,,,,
FERINJECT 500MG {10ML } VIAL,1,3045,1,2066.25,12,730.8,70283.3654,,,,,CLEXANE 60MG/0.6ML INJ,616.53,,LMWX 40MG INJ,2998.865,14.77%,"285,095.15",0.16%,14.77%,A,,,,
OLMEZEST H 20MG,200,151,10,102.47,12,724.672,71008.0374,,,,,MACVESTIN 500MG,606.3936,,GLYCIDROP CAPS,2925.681,14.92%,"288,020.83",0.15%,14.92%,A,,,,
CO Q 300MG CAP,15,1815,15,924.06,18,724.6092,71732.6466,,,,,ARPIZOL 15MG,1174.04,,RYZODEG FLEXTOUCH 3ML,2905.8,15.07%,"290,926.63",0.15%,15.07%,A,,,,
REHEPTIN ,120,300,10,214.29,12,719.9424,72452.589,,,,,SILODAL D 8MG,2653.72864,,JARDIANCE 25MG,2889.6832,15.22%,"293,816.31",0.15%,15.22%,A,,,,
STROCIT PLUS,40,748,10,507.58,12,718.0416,73170.6306,,,,,VINTOR 4000 INJ,5875.8976,,BIFILAC CAPS,2877.89712,15.37%,"296,694.21",0.15%,15.37%,A,,,,
MAMY POKO SMALL 84'S,1,999,1,252.35,12,716.368,73886.9986,,,,,ACCU CHEK GUIDE STRIPS 50S,3223.8688,,CONCOR 5MG,2851.575,15.52%,"299,545.79",0.15%,15.52%,A,,,,
MICROPORE 2.5CM,12,102,1,38.22,12,710.3232,74597.3218,,,,,LIPAGALYN 4MG,2313.1024,,ACCU CHEK INSTANT 50'S,2839.296,15.67%,"302,385.08",0.15%,15.67%,A,,,,
ECONORM CAPS,72,243,6,164.89,12,699.8784,75297.2002,,,,,COVISELF COVID-19 TEST KIT,3400.3,,ALLEGRA 180MG,2779.08272,15.81%,"305,164.17",0.14%,15.81%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,75992.3042,,,,,ULTIMATE OMEGA 3 SOFT 60'S,562,,PULMOCLEAR,2771.14624,15.95%,"307,935.31",0.14%,15.95%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,76687.4082,,,,,DUPHASTON 10MG,5075.42024,,"ISTAMET 50/500MG 15""S",2758.452,16.10%,"310,693.76",0.14%,16.10%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,77382.5122,,,,,SOLIAN 200MG,1113.4704,,L MONTUS,2728.79168,16.24%,"313,422.56",0.14%,16.24%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,78077.6162,,,,,K BIND POWDER,1482.3328,,DR.C BODY WIPES 10'S,2721.8,16.38%,"316,144.36",0.14%,16.38%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,78772.7202,,,,,GLOVES {LARGE} 5.75,3305.67,,ROSUVAS 5MG,2718.760533,16.52%,"318,863.12",0.14%,16.52%,A,,,,
UNDERPAD,20,600,10,225.4,12,695.104,79467.8242,,,,,FRIENDS PREMIUM PANT XL10,1637.9712,,SILODAL D 8MG,2653.72864,16.66%,"321,516.84",0.14%,16.66%,A,,,,
AZTOR EZ,120,239,10,162.17,12,688.4352,80156.2594,,,,,DR.C BODY WIPES 10'S,2721.8,,VOLINI SPRAY 100GM,2627.3744,16.79%,"324,144.22",0.14%,16.79%,A,,,,
NOVOMIX 30 PENFILL,4,851.84,1,647.4,5,688.28,80844.5394,,,,,UROBAG,1319.171,,KNEE CAP NILON {LARGE},2591.64,16.93%,"326,735.86",0.13%,16.93%,A,,,,
NEBULIZER MACHINE {OMRON),1,3430,1,2450,12,686,81530.5394,,,,,AUROPROST RT EYE DROPS,719.21,,THREPTIN DISKETTS,2561.5734,17.06%,"329,297.43",0.13%,17.06%,A,,,,
NEBULIZER MACHINE {OMRON),1,3430,1,2450,12,686,82216.5394,,,,,NEBISTAR 5MG,1222.9128,,ONGLYZA 5MG 14'S,2551.287086,17.19%,"331,848.72",0.13%,17.19%,A,,,,
NEBULIZER MACHINE {OMRON),1,3430,1,2450,12,686,82902.5394,,,,,VINOX,692.3884,,COLD ACT,2539.77152,17.32%,"334,388.49",0.13%,17.32%,A,,,,
MEDICISER (RESPIRATOR EXERCIS),1,849,1,147,12,684.36,83586.8994,,,,,CLOPILET,4359.6264,,MCVIT TABS,2538.66496,17.46%,"336,927.16",0.13%,17.46%,A,,,,
MEDICISER (RESPIRATOR EXERCIS),1,849,1,147,12,684.36,84271.2594,,,,,NITROCONTIN 6.4MG 30'S,527.0208,,GALVUS 50MG 15'S,2515.2768,17.59%,"339,442.43",0.13%,17.59%,A,,,,
MEDICISER (RESPIRATOR EXERCIS),1,849,1,147,12,684.36,84955.6194,,,,,VALCIVIR 1GM,2232.1912,,ECONORM CAPS,2472.8896,17.71%,"341,915.32",0.13%,17.71%,A,,,,
SILDOO D8 CAPS,70,399.25,10,270.92,12,670.7372,85626.3566,,,,,HIMPLASIA TABS,644.9344,,AMLONG 5mg,2466.3164,17.84%,"344,381.64",0.13%,17.84%,A,,,,
TWINCAL 10MG,200,137.6,10,93.38,12,660.288,86286.6446,,,,,BLOOD PRESSURE MONITOR{OMRON},1564.896,,ZOMELISMET 50/500MG 15'S,2457.77,17.97%,"346,839.41",0.13%,17.97%,A,,,,
GLUCONORM G PLUS 1MG,300,137.4,15,93.23,12,659.648,86946.2926,,,,,ROZAVEL 20MG,955.7152,,SAMAHAN INSTANT PEYAVA,2456.026624,18.10%,"349,295.44",0.13%,18.10%,A,,,,
CRANPAC D TABS,90,365,10,247.46,18,656.9748,87603.2674,,,,,BUDECORT 0.5MG RESPULES 5'S,2346.1448,,GAVISCON 150ML,2426.2904,18.22%,"351,721.73",0.13%,18.22%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1545,1,800,12,649,88252.2674,,,,,RENERVE PLUS INJ,1371.9692,,JALRA 50MG 15'S,2375.6048,18.35%,"354,097.33",0.12%,18.35%,A,,,,
WEIGHING MACHINE,1,1920,1,1078,18,647.96,88900.2274,,,,,URIMAX D,1538.273013,,CHYMORAL FORTE,2352.33632,18.47%,"356,449.67",0.12%,18.47%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,89545.9874,,,,,MONOGUARD SHAMPOO 60ML,588,,ALLEGRA 120MG,2351.9234,18.59%,"358,801.59",0.12%,18.59%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,90191.7474,,,,,BLOOD PRESSURE MONITOR OMRON,3006.192,,BUDECORT 0.5MG RESPULES 5'S,2346.1448,18.71%,"361,147.74",0.12%,18.71%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,90837.5074,,,,,GIBTULIO 25MG,623.2384,,ESIFLO 250 TRANSHALER,2317.6424,18.83%,"363,465.38",0.12%,18.83%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,91483.2674,,,,,GLYXAMBI 25/5MG 10'S,1808.264,,MOX CLAV 625MG,2317.6002,18.95%,"365,782.98",0.12%,18.95%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,92129.0274,,,,,HUMALOG MIX 25 PENFIL,1323.504,,LIPAGALYN 4MG,2313.1024,19.07%,"368,096.08",0.12%,19.07%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,92774.7874,,,,,TRIOHALE INHALER,493.9632,,XIGDUO 5MG/1000MG 14'S,2289.84,19.19%,"370,385.92",0.12%,19.19%,A,,,,
BLOOD PRESSURE MONITOR {OMRON},1,3280,1,2352,12,645.76,93420.5474,,,,,OVASAFE TAB,1491.0112,,GLYCOMET GP 2,2283.594773,19.31%,"372,669.51",0.12%,19.31%,A,,,,
LMWX 40MG INJ,4,427.79,1,256.5,5,633.86,94054.4074,,,,,HYCERA FORTE,482.0292,,REMYLIN D ,2269.79936,19.43%,"374,939.31",0.12%,19.43%,A,,,,
JALRA 50MG 15'S,8,660,2,447.87,12,633.5424,94687.9498,,,,,TOXIPHAGE,1360.0816,,CONCOR COR 2.5MG,2267.97076,19.54%,"377,207.29",0.12%,19.54%,A,,,,
LACTOGUT TAB,90,190,10,101.97,18,627.0786,95315.0284,,,,,XIDORIN 2.5MG 20'S,479.9808,,NEPTAZ 100MG 14'S,2267.5456,19.66%,"379,474.83",0.12%,19.66%,A,,,,
ONGLYZA 5MG 14'S,60,1210,28,821.08,12,622.2651429,95937.29354,,,,,SYSTANE ULTRA 10ML= SYSTANE,1537.2432,,URIMAX 0.4MG,2251.28616,19.78%,"381,726.12",0.12%,19.78%,A,,,,
ONGLYZA 5MG 14'S,60,1210,28,821.08,12,622.2651429,96559.55869,,,,,GALVUSMET 50/500MG 15'S,4415.0848,,ALTRAZ 1MG,2250,19.89%,"383,976.12",0.12%,19.89%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1500,1,784,12,621.92,97181.47869,,,,,CURKEY PASTILLES 100MG 10'S,2094.3296,,ROSEDAY F 10MG,2238.21164,20.01%,"386,214.33",0.12%,20.01%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1500,1,784,12,621.92,97803.39869,,,,,CALCINASE NASAL SPRAY,468.7352,,VALCIVIR 1GM,2232.1912,20.13%,"388,446.52",0.12%,20.13%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1500,1,784,12,621.92,98425.31869,,,,,QUOGRESS,1562.4,,ELDOPER,2228.82476,20.24%,"390,675.34",0.12%,20.24%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1500,1,784,12,621.92,99047.23869,,,,,ALMITO PLUS CAP 10S,466.992,,DIAMICRON XR MEX 500MG,2195.774,20.35%,"392,871.12",0.11%,20.35%,A,,,,
MEDICISER (RESPIRATOR EXERCIS),1,773,1,137.2,12,619.336,99666.57469,,,,,GLUFORMIN G2,620.6448,,BECOSULES,2173.8478,20.47%,"395,044.97",0.11%,20.47%,A,,,,
MEDICISER (RESPIRATOR EXERCIS),1,773,1,137.2,12,619.336,100285.9107,,,,,AJADUO 10/5MG 10'S,454.4832,,ALSODY CAP,2158.83716,20.58%,"397,203.80",0.11%,20.58%,A,,,,
VYMADA 100MG 14'S,2,2575,2,1747.33,12,617.9904,100903.9011,,,,,CRESTOR 10MG,1497.4048,,ZITEN M 20/1000MG,2134.356,20.69%,"399,338.16",0.11%,20.69%,A,,,,
CLEXANE 60MG/0.6ML INJ,4,641.91,1,464.55,5,616.53,101520.4311,,,,,JANUVIA 50MG 7'S,3243.1104,,CANDID B CREAM 20GM,2119.296,20.80%,"401,457.46",0.11%,20.80%,A,,,,
MACVESTIN 500MG,20,497,10,164.24,18,606.3936,102126.8247,,,,,MERO 1GM INJ,600.5136,,ACCU CHEK ACTIVE MACHINE,2119.0784,20.91%,"403,576.53",0.11%,20.91%,A,,,,
MAGNEX FORTE 1.5GM INJ,2,729.06,1,380.56,12,605.6656,102732.4903,,,,,L MONTUS,2728.79168,,NEUROBION FORTE TAB 30'S,2116.498427,21.02%,"405,693.03",0.11%,21.02%,A,,,,
ARPIZOL 15MG,130,191.8,10,130.15,12,598.416,103330.9063,,,,,REVILUS TAB 15'S,882.6744,,FORACORT 200 INHALER,2107.6304,21.13%,"407,800.66",0.11%,21.13%,A,,,,
SILODAL D 8MG,60,415,10,281.61,12,597.5808,103928.4871,,,,,ACCU CHEK INSTANT S MACHINE,1156.24,,NOVOMIX 30 PENFILL,2096.177,21.24%,"409,896.84",0.11%,21.24%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,104524.0535,,,,,PALMIGES TAB,1652.50296,,REFRESH TEARS 10ml,2094.8864,21.35%,"411,991.73",0.11%,21.35%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,105119.6199,,,,,CURCON D CAPS,424.8,,CURKEY PASTILLES 100MG 10'S,2094.3296,21.45%,"414,086.06",0.11%,21.45%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,105715.1863,,,,,LYRICA 75MG 14'S,834.6128,,LANTUS PENFIL,2085.044,21.56%,"416,171.10",0.11%,21.56%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,106310.7527,,,,,UBICAR TABS,655.3184,,TEDIBAR SOAP,2084.0962,21.67%,"418,255.20",0.11%,21.67%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,106906.3191,,,,,ROSUVAS 10MG,4264.870187,,TELMA AM,2072.15856,21.78%,"420,327.35",0.11%,21.78%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,107501.8855,,,,,NOVOMIX 30 FLEX PEN,1610.814,,DUPHALAC  450ML,2064.66,21.88%,"422,392.01",0.11%,21.88%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,108097.4519,,,,,MATILDA AF,2021.0912,,I V SET [INFUSION SET],2059.6992,21.99%,"424,451.71",0.11%,21.99%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,108693.0183,,,,,COLLABOSE UC TAB,417.9792,,NEBULIZER MACHINE {OMRON),2058,22.10%,"426,509.71",0.11%,22.10%,A,,,,
VINTOR 4000 INJ,1,1059,1,413.78,12,595.5664,109288.5847,,,,,FUNGICROS NAIL LACQUER,417.5976,,INAPURE 5MG,2045.056,22.20%,"428,554.77",0.11%,22.20%,A,,,,
ACCU CHEK GUIDE STRIPS 50S,2,1375,1,965.87,12,586.4512,109875.0359,,,,,CARDIVAS 3.125MG,1186.4144,,GELUSIL MPS TAB,2032.189867,22.31%,"430,586.96",0.11%,22.31%,A,,,,
ACCU CHEK GUIDE STRIPS 50S,2,1375,1,966.23,12,585.6448,110460.6807,,,,,BANDAGE CLOTH,414.2256,,VOLIX 0.3MG,2029.725867,22.41%,"432,616.69",0.11%,22.41%,A,,,,
PULSE OXIMETER {ZACVRATE},1,1545,1,857.5,12,584.6,111045.2807,,,,,ROZAVEL 40MG,1090.2672,,MATILDA AF,2021.0912,22.52%,"434,637.78",0.10%,22.52%,A,,,,
ONGLYZA 5MG 14'S,56,1210,28,821.08,12,580.7808,111626.0615,,,,,ONE TOUCH SELECT  PLUS,413.3888,,RAZO D,2008.93664,22.62%,"436,646.71",0.10%,22.62%,A,,,,
LIPAGALYN 4MG,60,402.15,10,272.89,12,579.0792,112205.1407,,,,,DUPHALAC  450ML,2064.66,,KIDTRO EYE DROPS,2001.5584,22.73%,"438,648.27",0.10%,22.73%,A,,,,
